"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"6314","-0.0692765861749649","-0.0692765861749649","-0.0692765861749649"
"6336","-0.07127781212329865","-0.07127781212329865","-0.07127781212329865"
"6358","-0.05494310334324837","-0.05494310334324837","-0.05494310334324837"
"6381","-0.0432678647339344","-0.0432678647339344","-0.0432678647339344"
"6404","-0.035743918269872665","-0.035743918269872665","-0.035743918269872665"
"6427","-0.033345967531204224","-0.033345967531204224","-0.033345967531204224"
"6450","-0.04248792305588722","-0.04248792305588722","-0.04248792305588722"
"6472","-0.0629739984869957","-0.0629739984869957","-0.0629739984869957"
"6493","-0.07075173407793045","-0.07075173407793045","-0.07075173407793045"
"6515","-0.0598556213080883","-0.0598556213080883","-0.0598556213080883"
"6537","-0.04746483266353607","-0.04746483266353607","-0.04746483266353607"
"6560","-0.03957904502749443","-0.03957904502749443","-0.03957904502749443"
"6584","-0.028210479766130447","-0.028210479766130447","-0.028210479766130447"
"6608","-0.027195874601602554","-0.027195874601602554","-0.027195874601602554"
"6632","-0.023597968742251396","-0.023597968742251396","-0.023597968742251396"
"6656","-0.021397065371274948","-0.021397065371274948","-0.021397065371274948"
"6680","-0.02224562130868435","-0.02224562130868435","-0.02224562130868435"
"6704","-0.022366829216480255","-0.022366829216480255","-0.022366829216480255"
"6728","-0.018564071506261826","-0.018564071506261826","-0.018564071506261826"
"6752","-0.01907968334853649","-0.01907968334853649","-0.01907968334853649"
"6776","-0.01822691224515438","-0.01822691224515438","-0.01822691224515438"
"6800","-0.016880717128515244","-0.016880717128515244","-0.016880717128515244"
"6824","-0.016006965190172195","-0.016006965190172195","-0.016006965190172195"
"6848","-0.015620043501257896","-0.015620043501257896","-0.015620043501257896"
"6872","-0.015432853251695633","-0.015432853251695633","-0.015432853251695633"
"6896","-0.01490783877670765","-0.01490783877670765","-0.01490783877670765"
"6920","-0.014618774875998497","-0.014618774875998497","-0.014618774875998497"
"6944","-0.015506547875702381","-0.015506547875702381","-0.015506547875702381"
"6968","-0.015786150470376015","-0.015786150470376015","-0.015786150470376015"
"6992","-0.018206937238574028","-0.018206937238574028","-0.018206937238574028"
"7016","-0.020624397322535515","-0.020624397322535515","-0.020624397322535515"
"7040","-0.024389881640672684","-0.024389881640672684","-0.024389881640672684"
"7064","-0.023277297616004944","-0.023277297616004944","-0.023277297616004944"
"7088","-0.02002762071788311","-0.02002762071788311","-0.02002762071788311"
"7112","-0.0193988848477602","-0.0193988848477602","-0.0193988848477602"
"7136","-0.01816750317811966","-0.01816750317811966","-0.01816750317811966"
"7160","-0.01695312187075615","-0.01695312187075615","-0.01695312187075615"
"7184","-0.015914898365736008","-0.015914898365736008","-0.015914898365736008"
"7208","-0.01628185249865055","-0.01628185249865055","-0.01628185249865055"
"7232","-0.016736112534999847","-0.016736112534999847","-0.016736112534999847"
"7256","-0.015672700479626656","-0.015672700479626656","-0.015672700479626656"
"7280","-0.015137656591832638","-0.015137656591832638","-0.015137656591832638"
"7304","-0.015055154450237751","-0.015055154450237751","-0.015055154450237751"
